"event_id","customer_id","event_date","event_type","product_id","quantity","discount_pct","revenue","profit"
1,"C00001",2024-12-13,"view","P005",NA,0,0,0
2,"C00002",2024-01-04,"view","P018",NA,0,0,0
3,"C00002",2024-10-08,"view","P015",NA,10,0,0
4,"C00002",2024-03-05,"view","P025",NA,20,0,0
5,"C00002",2024-03-05,"add_to_cart","P025",NA,20,0,0
6,"C00002",2024-12-07,"view","P018",NA,20,0,0
7,"C00003",2024-10-30,"view","P027",NA,0,0,0
8,"C00003",2024-02-15,"view","P002",NA,0,0,0
9,"C00003",2023-06-25,"view","P001",NA,0,0,0
10,"C00003",2024-07-11,"view","P011",NA,0,0,0
11,"C00003",2023-10-25,"view","P008",NA,30,0,0
12,"C00003",2024-10-29,"view","P028",NA,0,0,0
13,"C00003",2024-05-21,"view","P024",NA,10,0,0
14,"C00003",2024-05-21,"add_to_cart","P024",NA,10,0,0
15,"C00003",2024-02-18,"view","P017",NA,10,0,0
16,"C00003",2023-06-04,"view","P002",NA,0,0,0
17,"C00004",2024-12-23,"view","P002",NA,0,0,0
18,"C00004",2023-06-25,"view","P005",NA,0,0,0
19,"C00004",2024-02-06,"view","P013",NA,0,0,0
20,"C00004",2024-07-17,"view","P012",NA,0,0,0
21,"C00004",2024-03-05,"view","P029",NA,0,0,0
22,"C00005",2024-12-03,"view","P014",NA,0,0,0
23,"C00005",2024-09-26,"view","P002",NA,10,0,0
24,"C00005",2023-12-03,"view","P018",NA,20,0,0
25,"C00005",2024-01-11,"view","P023",NA,0,0,0
26,"C00005",2024-12-14,"view","P025",NA,10,0,0
27,"C00005",2024-05-10,"view","P018",NA,0,0,0
28,"C00005",2024-05-29,"view","P022",NA,0,0,0
29,"C00005",2024-05-26,"view","P022",NA,10,0,0
30,"C00006",2024-07-25,"view","P025",NA,20,0,0
31,"C00006",2024-12-29,"view","P026",NA,0,0,0
32,"C00006",2024-12-29,"add_to_cart","P026",NA,0,0,0
33,"C00006",2023-10-13,"view","P006",NA,0,0,0
34,"C00006",2024-03-31,"view","P005",NA,10,0,0
35,"C00006",2024-03-31,"add_to_cart","P005",NA,10,0,0
36,"C00006",2023-07-06,"view","P011",NA,0,0,0
37,"C00006",2024-08-08,"view","P001",NA,0,0,0
38,"C00006",2024-11-19,"view","P025",NA,0,0,0
39,"C00006",2024-02-11,"view","P014",NA,10,0,0
40,"C00006",2024-02-11,"add_to_cart","P014",NA,10,0,0
41,"C00006",2024-05-28,"view","P011",NA,0,0,0
42,"C00007",2024-10-25,"view","P017",NA,0,0,0
43,"C00007",2024-09-30,"view","P030",NA,10,0,0
44,"C00007",2024-09-30,"view","P006",NA,0,0,0
45,"C00007",2024-10-28,"view","P028",NA,10,0,0
46,"C00007",2024-10-28,"add_to_cart","P028",NA,10,0,0
47,"C00007",2024-10-06,"view","P028",NA,0,0,0
48,"C00007",2024-10-06,"add_to_cart","P028",NA,0,0,0
49,"C00007",2024-10-06,"purchase","P028",1,0,367.01,167.79
50,"C00007",2024-11-19,"view","P001",NA,10,0,0
51,"C00008",2023-06-04,"view","P025",NA,0,0,0
52,"C00008",2023-07-29,"view","P030",NA,0,0,0
53,"C00008",2023-07-29,"add_to_cart","P030",NA,0,0,0
54,"C00009",2023-06-13,"view","P025",NA,0,0,0
55,"C00009",2024-11-04,"view","P017",NA,0,0,0
56,"C00009",2023-08-12,"view","P014",NA,0,0,0
57,"C00009",2024-08-23,"view","P003",NA,0,0,0
58,"C00009",2024-08-23,"add_to_cart","P003",NA,0,0,0
59,"C00009",2024-09-24,"view","P013",NA,0,0,0
60,"C00009",2024-10-27,"view","P017",NA,0,0,0
61,"C00009",2023-12-05,"view","P020",NA,0,0,0
62,"C00009",2023-12-05,"add_to_cart","P020",NA,0,0,0
63,"C00009",2023-07-08,"view","P009",NA,0,0,0
64,"C00009",2023-07-09,"view","P030",NA,10,0,0
65,"C00009",2024-10-28,"view","P029",NA,10,0,0
66,"C00010",2024-06-14,"view","P016",NA,20,0,0
67,"C00010",2024-04-04,"view","P012",NA,0,0,0
68,"C00010",2024-04-11,"view","P028",NA,0,0,0
69,"C00010",2024-12-02,"view","P024",NA,0,0,0
70,"C00010",2024-05-17,"view","P007",NA,0,0,0
71,"C00010",2024-10-01,"view","P025",NA,20,0,0
72,"C00010",2024-07-07,"view","P015",NA,0,0,0
73,"C00010",2024-01-21,"view","P029",NA,0,0,0
74,"C00011",2024-08-18,"view","P024",NA,20,0,0
75,"C00011",2024-08-18,"add_to_cart","P024",NA,20,0,0
76,"C00011",2024-08-18,"purchase","P024",1,20,305.07,39.6
77,"C00011",2024-12-17,"view","P022",NA,0,0,0
78,"C00011",2024-08-11,"view","P020",NA,0,0,0
79,"C00011",2024-08-11,"add_to_cart","P020",NA,0,0,0
80,"C00011",2024-07-31,"view","P013",NA,30,0,0
81,"C00011",2024-07-31,"add_to_cart","P013",NA,30,0,0
82,"C00011",2024-07-31,"purchase","P013",2,30,158.85,43.25
83,"C00011",2023-09-20,"view","P025",NA,20,0,0
84,"C00011",2023-10-24,"view","P011",NA,0,0,0
85,"C00011",2023-10-24,"add_to_cart","P011",NA,0,0,0
86,"C00012",2024-05-17,"view","P010",NA,0,0,0
87,"C00012",2024-05-17,"add_to_cart","P010",NA,0,0,0
88,"C00012",2024-01-17,"view","P007",NA,10,0,0
89,"C00012",2024-01-17,"add_to_cart","P007",NA,10,0,0
90,"C00012",2024-01-17,"purchase","P007",2,10,1733.27,766.81
91,"C00012",2024-08-27,"view","P020",NA,20,0,0
92,"C00012",2024-01-28,"view","P011",NA,0,0,0
93,"C00012",2024-12-01,"view","P009",NA,10,0,0
94,"C00012",2024-07-28,"view","P009",NA,10,0,0
95,"C00012",2024-07-22,"view","P004",NA,10,0,0
96,"C00012",2024-04-12,"view","P022",NA,0,0,0
97,"C00012",2024-12-19,"view","P027",NA,10,0,0
98,"C00012",2024-12-19,"add_to_cart","P027",NA,10,0,0
99,"C00012",2024-12-19,"purchase","P027",3,10,503.74,129.1
100,"C00012",2024-03-18,"view","P009",NA,0,0,0
101,"C00013",2024-09-03,"view","P007",NA,20,0,0
102,"C00013",2024-12-21,"view","P019",NA,0,0,0
103,"C00013",2024-09-18,"view","P005",NA,0,0,0
104,"C00013",2024-11-30,"view","P027",NA,0,0,0
105,"C00013",2024-12-23,"view","P021",NA,20,0,0
106,"C00013",2024-11-23,"view","P028",NA,0,0,0
107,"C00013",2024-12-02,"view","P013",NA,0,0,0
108,"C00014",2023-11-19,"view","P012",NA,0,0,0
109,"C00014",2024-06-25,"view","P018",NA,0,0,0
110,"C00014",2024-12-04,"view","P022",NA,0,0,0
111,"C00014",2024-12-04,"add_to_cart","P022",NA,0,0,0
112,"C00014",2024-01-11,"view","P015",NA,20,0,0
113,"C00014",2023-10-29,"view","P009",NA,0,0,0
114,"C00014",2024-07-26,"view","P019",NA,0,0,0
115,"C00014",2024-05-13,"view","P010",NA,0,0,0
116,"C00015",2024-11-12,"view","P003",NA,0,0,0
117,"C00015",2024-12-08,"view","P010",NA,0,0,0
118,"C00015",2024-12-08,"add_to_cart","P010",NA,0,0,0
119,"C00015",2024-12-08,"purchase","P010",3,0,2803.67,973.04
120,"C00015",2024-12-15,"view","P014",NA,0,0,0
121,"C00015",2024-11-01,"view","P005",NA,0,0,0
